id,imdb_user_rating,year,genre,MovieID,word_counts
tt6029778,7.6,2018,Documentary,tt6029778,"{'s': 971, 'young': 553, 'film': 534, 'musicals': 533, 'industrial': 406, 'broadway': 404, 'nt': 334, 'world': 315, 'documentary': 310, 'bathtubs': 309, 'musical': 240, 'life': 237, 'steve': 237, 'letterman': 202, 'productions': 184, 'long': 181, 'show': 167, 'business': 166, 'time': 166, 'sales': 150}"
tt6370614,6.7,2018,Documentary,tt6370614,"{'nt': 80, 's': 60, 'think': 60, 'director': 60, 'took': 60, 'movie': 40, 'information': 40, 'point': 40, 'film': 40, 'guy': 20, 'storytelling': 20, 'bad': 20, 'docoespecially': 20, 'beer': 20, 'two': 20, 'premise': 20, 'good': 20, 'laid': 20, 'allows': 20, 'wander': 20}"
tt6566624,6.8,2018,Documentary,tt6566624,"{'s': 520, 'german': 420, 'cinema': 380, 'film': 380, 'hollywood': 360, 'films': 300, 'nt': 280, 'movies': 280, 'movie': 220, 'propaganda': 220, 'nazi': 200, 'people': 160, 'did': 160, 'clips': 160, 'hitler': 160, 'documentary': 140, 'know': 140, 'way': 120, 'war': 120, 'third': 120}"
tt6893836,7.4,2018,Documentary,tt6893836,"{'welles': 560, 'film': 490, 's': 320, 'wind': 240, 'orson': 220, 'side': 190, 'documentary': 180, 'life': 170, 'making': 150, 'nt': 130, 'movie': 130, 'story': 120, 'work': 110, 'films': 100, 'time': 100, 'love': 90, 'director': 90, 'bogdanovich': 70, 'money': 70, 'real': 70}"
tt8749146,7.0,2018,Documentary,tt8749146,"{'wiseman': 340, 's': 320, 'people': 260, 'film': 240, 'monrovia': 220, 'life': 200, 'indiana': 180, 'town': 140, 'scene': 140, 'america': 140, 'documentary': 120, 'time': 100, 'small': 100, 'films': 100, 've': 100, 'minutes': 100, 'nt': 100, 'going': 80, 'scenes': 80, 'school': 80}"
tt7478112,6.8,2018,Documentary,tt7478112,"{'film': 140, 'people': 140, 's': 120, 'world': 120, 'pay': 100, 'china': 80, 'online': 80, 'stars': 80, 'reality': 80, 'live': 60, 'fans': 60, 'money': 60, 'virtual': 60, 'performers': 60, 'life': 60, 'hao': 40, 'wu': 40, 'streaming': 40, 'gifts': 40, 'times': 40}"
tt7475540,7.2,2018,Documentary,tt7475540,"{'art': 665, 's': 322, 'world': 178, 'collectors': 177, 'documentary': 162, 'film': 162, 'artists': 160, 'people': 112, 'contemporary': 112, 'good': 99, 'think': 98, 'nt': 96, 'auction': 96, 'dealers': 81, 'new': 80, 'price': 80, 'way': 66, 'love': 66, 'jeff': 65, 'story': 65}"
tt8520614,7.7,2018,Documentary,tt8520614,"{'film': 355, 's': 340, 'colvin': 250, 'story': 224, 'conroy': 202, 'paul': 154, 'marie': 146, 'people': 140, 'war': 137, 'syria': 133, 'nt': 112, 'footage': 103, 'syrian': 95, 'make': 92, 'documentary': 85, 'told': 74, 'journalists': 72, 'times': 67, 'government': 66, 'time': 66}"
tt12193804,6.6,2018,Documentary,tt12193804,"{'whitney': 1635, 's': 1625, 'movie': 1399, 'film': 1017, 'life': 934, 'nt': 736, 'did': 707, 'music': 672, 'houston': 670, 'great': 441, 'naomi': 406, 'time': 338, 'story': 332, 'moments': 322, 'voice': 283, 'scenes': 267, 'times': 264, 'felt': 264, 'good': 264, 'fans': 250}"
tt6903636,6.2,2018,Documentary,tt6903636,"{'grace': 840, 'jones': 820, 's': 500, 'documentary': 240, 'concert': 220, 'movie': 220, 'jamaica': 200, 'music': 180, 'film': 160, 'people': 160, 'life': 140, 'voice': 120, 'scenes': 120, 'years': 120, 'footage': 120, 'fan': 120, 'way': 100, 'nt': 100, 'fiennes': 100, 'show': 100}"
