Movie ID,Total word count,Verb Count,Noun Count,Adjective Count,Adverb Count,Pronoun Count
tt0020629,122308,11259,22272,10012,5903,9137
tt0030287,154091,15475,22152,11653,8082,12805
tt0031381,79245,7503,12864,5994,3912,6640
tt0032976,43853,3905,6243,3649,2516,3613
tt0033467,134848,12657,23584,10248,7384,11021
tt0043014,81850,8145,13271,5890,3829,7243
tt0048280,74146,6449,13289,5925,3854,5021
tt0048291,55573,5166,8125,3952,2561,3957
tt0050419,81500,7487,12534,5445,4156,6239
tt0057115,77240,7167,13305,5681,3662,5163
tt0057773,23448,1884,3606,1758,1404,1704
tt0058331,112747,10060,17556,8619,5678,9345
tt0058576,119899,11003,17908,8615,5257,7865
tt0058972,91357,8617,15052,6294,4459,7571
tt0061653,108342,9378,17838,9360,5832,7488
tt0061809,58296,5652,10092,4368,2718,3852
tt0068067,14061,1389,2672,961,644,1075
tt0069049,151460,14361,26440,11631,7929,12681
tt0070511,72407,6574,12494,6235,3526,5298
tt0071222,98952,9112,17079,7946,5755,6657
tt0071615,48407,5020,7907,3814,2844,4542
tt0073486,64338,6132,10518,4944,3426,5166
tt0074042,43511,4401,7475,3496,2589,3721
tt0075421,10777,1135,1700,659,616,812
tt0076590,54419,5271,9577,4929,3263,4077
tt0077651,134371,14187,21581,10019,7845,12969
tt0078797,91764,8251,17476,7394,3953,5953
tt0080556,136844,12455,22956,11015,6695,9987
tt0080903,32004,2625,5054,2884,2114,2457
tt0084503,68088,6824,12100,4847,3483,6629
tt0085334,68783,6423,11309,5068,3470,6358
tt0086022,53791,5301,8492,3934,3253,5052
tt0086525,43110,3927,6307,2380,2172,3803
tt0087089,69100,5754,11586,5531,3239,4571
tt0087538,116679,12097,18014,7625,6099,9713
tt0088153,29803,2960,4797,1989,1578,2506
tt0089374,67696,6434,11490,5073,2900,4895
tt0089798,35370,3390,5928,2490,1836,2904
tt0091225,103893,10606,15408,6949,5640,8600
tt0093119,122940,12180,21720,8640,6780,8440
tt0093693,62130,6082,9325,5016,3566,5808
tt0093779,55824,5472,8336,3816,3112,5160
tt0093822,98137,9977,15885,7127,4877,8473
tt0093886,71510,6600,10680,6060,3930,6410
tt0094027,114340,12940,17680,7940,5420,11140
tt0094862,140853,12973,23861,11353,8340,11566
tt0095403,35335,3111,6218,3328,2123,2551
tt0096056,73620,7200,11980,5540,4320,5500
tt0096969,105912,10652,16667,8082,5260,8312
tt0097758,58222,6008,9182,3809,3366,5393
tt0098084,48978,4572,7854,3546,3036,3912
tt0099871,192620,18740,30460,14640,10160,16660
tt0101272,39336,3480,6090,3342,2250,2952
tt0106080,37817,4040,5238,2901,2395,4169
tt0108071,58972,5845,9669,4656,3228,5289
tt0108473,59303,6545,8902,4462,3477,5293
tt0109635,119920,11860,21023,9706,5808,9693
tt0110684,37256,3480,5620,2716,1979,3384
tt0110737,71352,7452,10890,4896,3618,7920
tt0112159,137844,14058,23454,12006,9000,11070
tt0112401,39636,3990,5862,2784,2382,3216
tt0112579,159960,17083,25717,10703,8322,17035
tt0115907,142248,13777,24638,10848,5895,10357
tt0117381,77514,7737,12772,5872,4000,6708
tt0118363,72039,6723,10464,6881,4509,5921
tt0118749,37908,3245,6681,3003,1884,2911
tt0119250,46246,4502,8077,4049,2709,3765
tt0120347,186511,16385,31894,15216,9598,11629
tt0134983,152614,15097,25202,11568,8738,12447
tt0140379,39046,3757,5473,3035,2148,3112
tt0151137,42630,4260,6528,3294,2400,3708
tt0154420,100266,10229,16131,8342,5005,9292
tt0182576,22543,2380,3211,1959,1561,2696
tt0193676,72388,6760,12441,5777,4229,6583
tt0210296,36060,3260,5960,2640,1880,3320
tt0219822,40326,4164,5760,3084,2532,3732
tt0227445,90302,8985,13256,6482,5626,7704
tt0237572,92876,9676,14905,6269,4934,8390
