Movie ID,Total word count,Verb Count,Noun Count,Adjective Count,Adverb Count,Pronoun Count
tt11755740,51515,5638,8263,3641,3004,4972
tt11760792,9300,872,1471,761,607,853
tt11767722,25533,3047,4853,1904,925,1834
tt11771006,68989,6908,11777,6104,4039,6723
tt11771734,23620,2540,3340,1420,1260,2440
tt11777738,91833,9848,16545,7350,3930,8878
tt11778272,24188,2400,3702,2287,1418,2243
tt11790780,74432,7856,11680,5248,4096,8064
tt11795652,12960,1350,2199,1071,1100,1480
tt11804758,18880,1860,3220,1300,1060,2040
tt11813216,50306,5200,7691,4244,2904,4831
tt11818818,86721,9577,14475,6279,4721,8194
tt11827628,32682,3248,5283,2752,1787,2761
tt11832046,69786,7541,12199,5433,3570,7693
tt11832624,12000,1460,1660,1280,980,1100
tt11847410,57660,5772,10032,4248,2928,4872
tt11851548,68054,7810,10080,5252,4976,6311
tt11866324,67693,7202,11504,5345,4164,6319
tt11867884,49889,5026,8629,3647,2546,4360
tt11868198,28320,2980,5140,1840,1020,2380
tt11874226,38353,3714,6099,3393,2525,3276
tt11881160,28894,2786,4898,2615,1788,2849
tt11893274,71654,7806,13423,5635,4428,5613
tt11897340,46140,4780,8400,3520,1780,3520
tt11897478,95492,10621,15963,7584,5283,9221
tt11905462,38809,5082,5987,2692,2243,4314
tt11905538,24140,2740,4080,1340,1260,2300
tt11905962,28776,2826,5010,2664,1632,2466
tt11908982,22974,2190,4200,2004,1182,1902
tt11909878,39670,4508,6356,3263,2782,3646
tt11916302,43408,4929,6602,3268,2422,5336
tt11917942,54588,5255,10167,4202,2852,4056
tt11937680,2561,236,440,186,236,235
tt11952606,112529,11752,18556,7188,6203,11394
tt11976532,100834,11197,15537,7247,5901,9943
tt11992694,83751,8400,13787,6485,4594,7530
tt12003946,142748,13891,23927,11356,8955,10926
tt12004038,85435,10111,13461,5909,5649,9643
tt12017738,26700,2500,4360,2020,1300,1960
tt1206885,44706,4500,7572,3234,2466,3882
tt12133722,73328,7376,11264,6048,4640,7056
tt1213641,166433,16119,27539,12445,9652,14166
tt12141112,23082,2358,4110,1656,1320,2028
tt12156974,7088,784,1144,408,440,608
tt12187586,66185,8139,12017,4421,3349,6937
tt12193804,157049,18022,26397,10469,9138,16267
tt12226872,82769,8495,14179,6783,4392,7456
tt12229370,82570,8000,13511,6526,4501,6434
tt12262116,24792,2664,4446,1650,1350,2148
tt1226837,62576,6288,9848,4512,3904,5752
tt12274228,74931,8198,12337,5084,4008,7609
tt12298506,40116,4272,6516,3288,2448,3887
tt1235187,39357,4235,6436,3196,2221,4048
tt12361974,85565,8575,12587,5685,4532,7066
tt12412888,44754,4428,6744,3852,2676,3810
tt12439248,9225,1040,1705,705,395,995
tt12441478,26510,2960,4180,1900,1910,2490
tt12443946,14529,1336,2668,1444,652,1220
tt12444424,6300,590,1200,650,270,500
tt12477480,43536,4242,7494,3324,2394,4008
tt12482898,86297,9256,15676,6810,4840,7090
tt12494638,44751,4405,8828,3392,2084,2859
tt12519030,59107,6332,10284,5369,3941,5532
tt12530246,84657,8925,13787,6743,4855,7474
tt12536294,83801,8972,11729,6818,5549,9351
tt12538822,29136,3098,4895,2083,1471,2686
tt12545566,63882,6294,10726,5326,2883,5365
tt1255919,61845,6650,8064,4774,3953,6323
tt12564514,33940,3760,5560,2740,1800,3560
tt12572040,88518,9218,14205,7186,4856,7344
tt12585076,59895,6478,8999,5052,3829,5496
tt12592252,19854,2148,3300,1506,1110,1956
tt12593682,52304,5160,8568,4256,3288,4504
tt1259528,40218,4050,7200,3048,2322,3222
tt12607910,49330,5510,7740,3950,2730,4840
tt12618926,114823,11657,19510,10113,6585,10136
tt12637442,27078,2848,5348,2046,860,2171
tt12655436,125658,12447,19869,10019,6625,10826
tt12676326,118091,11465,19518,10207,7350,10774
tt12691830,73471,8059,12744,5992,3966,6905
tt12706768,22060,2160,3620,1660,1220,2120
tt1270797,73772,7409,10705,6603,5104,6710
tt12708658,53681,4981,9325,4594,2430,4302
tt12718300,38652,3918,5683,3029,2436,3444
tt12724306,30692,3064,4774,2821,1795,2871
tt12731980,45370,4634,7608,3784,2388,3489
tt1273221,56369,5888,8776,4243,2917,5309
tt12749596,44779,4779,8032,3426,2847,3873
tt12753120,40730,4010,6940,3090,2290,3220
tt12763474,59766,6505,8978,3785,3348,7341
tt12779696,1455,145,254,129,89,168
tt12783454,29272,3539,4064,2258,2172,3154
tt12786834,7940,900,1440,720,360,700
tt12788368,5352,556,974,553,274,416
tt12788488,95526,10025,15980,8132,6191,9113
tt12789110,53320,5080,9620,3980,2620,5020
tt12789212,35590,4369,5230,2500,1890,4070
tt12789540,65080,6980,10340,5080,4380,6700
tt12789558,87264,8635,15084,6617,4476,7010
tt12800524,43579,4764,7125,2694,2443,4579
tt12801262,68291,6093,10679,6180,4519,5762
tt12801326,30397,3299,5083,2168,1609,2810
tt12801356,24991,2636,4199,1895,1243,2231
tt12801814,66411,6876,11578,6020,4581,6166
tt12808182,32383,3054,4910,2696,2332,3131
tt1285009,112069,12886,17908,7820,8097,11328
tt12860964,46000,4740,7260,3380,2100,4220
tt12873562,98804,10642,17122,8084,5848,9288
tt12885272,17492,1763,2599,1508,1018,1813
tt12889404,34446,3396,5490,2970,2022,3054
tt1289403,74727,7746,13253,5849,3942,6226
tt12908110,49220,5503,7701,3662,3066,4964
tt12915238,25236,2850,4506,2076,1140,2352
tt1291566,29850,3486,4644,2100,1704,3312
tt12971802,65682,6642,10530,4518,4320,6822
tt1298644,45673,4575,6564,3899,3235,4397
tt12989912,62772,7606,9082,4548,3873,7561
tt13009186,38075,4225,5907,2510,2100,4421
tt1302006,111972,11057,17606,8048,6408,8930
tt13024674,100955,9725,15843,7857,5879,8651
tt13029044,50783,5139,8484,3980,3343,4626
tt13056052,93443,10477,16958,7317,5380,8500
tt13061914,20190,2052,3378,1800,1146,1908
tt13063384,79040,7720,13360,6360,4560,6800
tt13065386,45621,5508,7334,3394,2396,4292
tt13066182,46619,4618,7994,3677,3073,4414
tt1308728,157781,16610,26053,10951,8122,12307
tt13087796,82801,7765,12750,7074,5748,7892
tt13093506,45600,4320,7960,3740,2480,4240
tt13096334,22440,2420,3720,1660,1320,2440
tt13107070,19386,2346,3108,1524,1056,2118
tt13133936,59537,6394,10481,4128,3498,6157
tt13139228,71016,6816,11340,5652,3564,6168
tt13141250,29874,3012,4884,2292,1602,2808
tt13143964,38941,4055,5378,3143,2346,4081
tt13145534,25000,2480,4120,2380,1360,2580
tt1318517,140476,14469,21959,10314,6971,12127
tt13204490,47248,4560,7584,4024,3240,4896
tt13207508,87542,9308,14190,7134,4970,8777
tt1321510,68973,7212,11225,5655,3710,5378
tt13223398,38848,4468,6411,2829,2224,3520
tt13234058,89222,9586,14286,6920,5980,8704
tt13235822,104745,10588,18482,7740,5835,9642
tt13249596,17244,1878,2784,1344,768,1674
tt13270424,49702,5038,8007,4551,2743,4730
tt13314558,28324,2793,4547,2292,2009,2621
tt13320622,27673,2737,4560,2288,1562,2370
tt13320662,73221,7708,11633,6250,4549,7349
tt13327038,93249,9876,14083,7498,6419,10065
tt13345636,29142,3078,4923,2502,1386,2700
tt13352968,57736,5930,9065,4950,3343,6146
tt13363828,21510,2484,3648,1704,1302,2274
tt13372884,22170,2214,3576,1908,1254,2166
tt13372992,26086,2621,4302,2187,1476,2562
tt13391444,17619,2313,2454,1243,1097,2328
tt13392012,33833,3292,5506,2695,2000,3333
tt13403046,37870,4063,5722,3258,2205,3805
tt13429362,29178,2982,4785,2156,1623,2653
tt13432484,54000,5984,8656,3328,2784,6224
tt13434562,113083,11362,18548,10598,6876,11007
tt13444408,32304,3441,5346,2974,1935,3188
tt13453006,35130,3582,5520,2622,2004,3624
tt13456318,48574,5112,7191,3686,2851,4746
tt13473640,19460,2360,3140,1300,860,2380
tt13482828,14800,1340,2760,1280,600,1380
tt13490106,13467,1321,2423,977,637,843
tt13495458,41637,4198,6946,3485,2043,4096
tt13507778,37576,4080,5560,2816,2176,3960
tt13539646,63013,5622,12633,5764,2730,4317
tt13559026,52083,5683,9369,3733,2256,4199
tt13560574,35050,3357,5696,3306,2301,3295
tt13567374,12780,1440,2340,990,468,1116
tt13588156,59000,6060,9740,4560,3180,6280
tt13610562,86199,8904,12780,7229,5555,7990
tt1361336,32466,3006,5064,2526,1736,2764
tt13622074,32160,3140,5920,2720,1680,2540
tt13622118,75199,7936,13648,5904,3902,6086
tt13622168,5630,680,1130,400,220,500
tt13622180,65904,6634,11698,4757,2963,7176
tt13622204,35658,4254,5898,2568,1872,3948
tt13622884,20820,2020,3920,1980,1100,1520
tt13630174,26571,2584,5185,2125,1258,1581
tt13640696,61702,6018,9461,4819,3905,5742
tt13648216,16160,1560,3280,1560,880,1080
tt13648220,50445,5747,7681,3518,2822,5748
tt13648224,27480,2982,4289,2035,1530,3216
tt13648230,90060,10020,13960,6320,4560,8400
tt13648232,12420,1540,1580,700,960,1580
tt13651628,144688,15504,25264,11632,8688,13072
tt1365519,64066,6299,9947,5351,4207,5883
tt13655328,73417,8433,12289,5939,4907,7007
tt13656980,72360,7740,11560,5340,4180,6820
tt13669038,142222,15922,22824,10002,8690,12283
tt13694628,37458,3948,6156,2982,2070,2988
tt13698942,66736,7742,9881,4818,4674,7307
tt1371630,149039,15226,27488,12639,7344,11527
tt13758684,6880,600,1320,560,340,400
tt13822738,15192,1374,2598,1524,810,1206
tt13830148,14520,1240,2500,1240,980,1020
tt13833688,78780,9380,11890,5480,4730,8990
tt13841850,106034,12200,18491,8065,5932,10050
tt13846494,6584,844,1081,487,538,474
tt13873302,63180,6500,10520,5600,3460,5160
tt13874422,61986,6740,9981,5388,3984,6180
tt13880104,46296,4878,7596,3762,2946,4536
tt1389098,102695,10588,16064,7222,6062,9189
tt13968794,5202,468,963,357,252,462
tt13984924,39327,3855,6707,3084,2293,3640
tt14001894,24521,2428,4253,2221,1476,2347
tt14030266,9640,1100,1600,600,440,920
tt14030510,5033,558,931,521,255,479
tt14030526,58520,6520,9080,4680,3420,7400
tt14030682,18448,2368,3040,1216,856,2120
tt14031338,49164,5521,8576,4004,3056,4312
tt14033502,81700,8339,14375,7046,4162,7715
tt14034966,48161,4763,8203,3849,3107,4261
tt14035108,5100,420,980,440,240,520
tt14035292,39220,4261,5562,2775,2718,5359
tt14039582,127152,13086,23094,10008,6228,11448
tt14058484,34857,3477,5383,2346,2296,3762
tt14060094,33960,3534,5442,2376,1740,2778
tt14060232,65082,7499,10417,4547,3586,5965
tt14063678,79198,7913,13334,6967,5195,6539
tt14071694,31600,2700,5140,2300,1480,2900
tt14084828,43620,4780,6580,3680,2740,4220
tt14109724,96404,9814,14868,7672,6776,9296
tt14111734,29052,3180,5196,2052,1770,2784
tt14114802,133710,14393,22376,9795,7590,11982
tt14122288,8886,975,1418,689,439,1021
tt14124268,53902,5172,8618,4049,2696,4930
tt14128670,94780,9276,15259,7834,5340,8503
tt1413492,131400,13788,21330,9450,7938,11700
tt14138650,99653,10434,15752,7649,5659,7309
tt14145426,15360,1596,2208,1278,1062,1590
tt14153420,12800,1120,1900,940,700,740
tt14158346,4287,473,686,345,243,402
tt14168118,48339,5106,8170,4431,2829,4450
tt14176542,149354,14654,24748,11837,9151,14846
tt14179942,31506,3570,5502,2124,1476,2952
tt14208870,141192,13176,24498,10566,6822,12852
tt14253846,41597,5048,6529,3353,2500,4465
tt14269590,52331,5564,8581,4282,2762,4318
tt14298328,62816,6944,9744,4464,3856,7072
tt14299618,10460,960,2100,540,480,560
tt14300912,24911,2920,4309,1906,1177,2573
tt14307536,70716,7428,10656,5640,4128,7644
tt14309446,66051,7292,9588,5060,4587,6797
tt14330236,52680,5340,7260,4464,3552,4920
tt14331144,100418,10741,16425,8059,5954,9390
tt1433822,44688,4776,7464,3414,2802,3714
tt14354984,27958,2969,4480,2596,1614,2469
tt14369780,66099,6632,10600,5751,3900,6408
tt14376190,67488,8489,9886,4230,4530,7827
tt14376344,29441,3215,4562,2546,1776,3035
tt14402146,36984,3540,6306,2916,1878,2706
tt1442462,129438,14220,21996,10044,7092,12600
tt14439896,110944,12788,17832,7663,4978,11845
tt14444726,171239,17123,28730,12801,8733,16483
tt14458442,57594,5868,9330,4290,3642,5406
tt14502344,83456,8720,13808,6736,5856,8448
tt14506528,71492,7339,12100,5847,4263,6364
tt14512538,93552,9952,15583,7568,5152,10545
tt14539744,48477,5725,7274,3695,2867,5818
tt14542254,55540,5660,8860,4320,4680,5380
tt14547524,23160,2262,4242,1548,1128,1806
tt14549466,53402,5128,8747,4543,3309,5085
