Movie ID,Total word count,Verb Count,Noun Count,Adjective Count,Adverb Count,Pronoun Count
tt2241557,29745,3012,4825,2097,1657,2886
tt22494914,63574,7642,9466,4409,4661,6616
tt2267554,14214,1518,2306,1100,1000,1179
tt2274648,35028,3438,5952,2784,1866,2736
tt2275743,45288,4083,6807,3565,2686,4335
tt2283336,53365,5379,7979,3965,2803,4506
tt2296777,109241,10642,18164,8423,6106,8892
tt2304637,31248,3084,5010,2448,1764,2736
tt2315596,69876,7524,11412,5166,3690,7074
tt2316479,17736,1668,2946,1830,1062,1446
tt2328678,69041,6994,12056,5356,3126,5182
tt2328900,94990,8470,15218,7490,4172,6398
tt2337840,32104,3152,5048,2848,1944,2736
tt2338454,38470,4096,6037,3343,2440,3854
tt23628262,59963,7149,11147,4584,2985,6041
tt2365580,63835,6498,9211,4864,4521,7198
tt2368254,69143,6646,11610,4996,3496,5819
tt2372251,19470,2182,2962,1718,1190,1939
tt2382320,135912,13468,21098,9996,8078,12222
tt2386490,154014,15503,25941,13094,9719,11881
tt2396489,23166,2552,4248,2015,1097,2110
tt2397461,45210,4610,7240,4060,2370,4040
tt2401814,52340,5760,9120,3420,2780,4060
tt2403776,45972,4682,7420,3583,3081,4397
tt2404465,36317,3352,6051,3030,1511,3278
tt2404639,37176,3450,6054,2880,2046,3312
tt2452150,171675,18746,28833,11413,8803,14894
tt2452244,43194,4534,6277,3566,2685,4472
tt2463208,33792,3000,4758,2676,2316,3138
tt2481498,131909,13432,20482,9898,8741,13285
tt2484950,67376,7660,10608,5352,3806,7034
tt2499472,24458,2284,4345,2008,1506,2191
tt2527338,52920,5754,7170,3762,3540,4836
tt2531344,42672,4560,6972,3276,2784,4332
tt2548396,84550,9385,13639,6156,5395,7608
tt2557478,40770,4134,6480,3294,2202,3216
tt2567026,93705,9519,13755,7634,5773,7824
tt2584384,48240,4956,7530,3582,2298,4326
tt2586120,89405,8482,14944,7270,5344,6839
tt2597804,56780,6269,9196,4009,3080,6044
tt2639336,54802,5869,8050,4569,3634,4978
tt26443781,3160,260,610,370,130,150
tt26537229,39817,4221,6730,2990,2346,4276
tt2670882,29707,3233,4790,2429,1555,2923
tt2677722,25956,2544,4588,1895,1402,2031
tt2690226,66462,6431,10907,4845,3462,4912
tt2699110,22128,2388,3894,1770,1308,2058
tt2704998,42431,3808,7446,4183,2420,3047
tt2709692,33582,3330,4902,3108,2100,3222
tt2716382,37152,3696,6822,3108,2178,2700
tt2737304,76228,8557,12014,5629,4100,7530
tt2762506,103934,10538,18400,9030,5201,9413
tt2771200,91418,9209,13582,7657,5571,8067
tt2773246,72819,7108,12520,5415,3647,6719
tt2798920,132101,13909,21537,9830,8340,12410
tt2837574,135918,12685,19856,10080,7832,11305
tt2850386,30846,2952,5136,2688,1740,2478
tt2854926,90986,9340,14665,6849,5231,7832
tt2866708,60082,6796,9948,5095,3315,6357
tt2873282,67084,7026,11001,5168,3504,5977
tt2877296,10738,1054,2054,1037,626,738
tt2891456,8855,844,1795,548,318,467
tt2935510,101003,10239,17204,7610,5708,8693
tt2935622,90639,9634,14463,6622,5334,9008
tt2948372,36876,3905,5861,3173,2485,3263
tt2953050,79296,8052,12936,6996,4836,7380
tt2980152,32823,3741,5233,2316,2224,3491
tt2990140,29245,2798,4441,2133,1714,2830
tt3009772,19398,1950,2838,1469,1069,2190
tt3041550,33840,3240,6012,2736,1764,3144
tt3089630,34914,3558,5472,2622,2292,3456
tt3097396,21389,2443,3644,1744,1373,2039
tt3104956,30288,3366,4698,2400,1902,3090
tt3104988,102100,10957,17214,7779,4776,9215
tt3108894,41918,4059,7038,3122,1917,2909
tt3111426,23904,2472,4032,1908,1068,1938
tt3120280,34302,3936,4668,2538,2016,4212
tt3125652,78540,6840,13880,6040,3440,5360
tt3127022,51650,5416,8635,4247,2344,4196
