Movie ID,Total word count,Verb Count,Noun Count,Adjective Count,Adverb Count,Pronoun Count
tt8637428,110418,11550,18172,9730,6048,10094
tt8647310,58211,6697,9161,4499,3795,5617
tt8649186,126164,13538,21747,10000,5050,11028
tt8649190,35260,3930,5590,2900,2420,3240
tt8652728,148293,15975,25523,11945,8807,13174
tt8656686,53784,6396,9110,3848,3008,5536
tt8688634,16188,1698,2760,1392,906,1350
tt8690776,31810,2982,5352,3147,1808,2922
tt8695030,76721,7974,11533,5774,4911,7711
tt8708304,60886,7028,9562,4592,4550,5894
tt8709338,16104,1559,2585,1147,783,1398
tt8710596,20501,2296,3179,1530,1130,1923
tt8721424,38201,3708,6245,3448,2095,3112
tt8722346,145168,15109,25194,11004,8278,12685
tt8722888,28545,3116,4514,2459,1742,2863
tt8725958,22120,2240,4220,1860,920,1660
tt8726116,53640,5600,9780,4380,3260,3960
tt8727582,44690,4611,8259,3533,2090,4080
tt8737608,33800,3089,5773,3111,1756,2922
tt8739582,12531,1402,2041,995,674,1289
tt8740778,88710,8819,17164,7619,5403,5622
tt8743064,19819,2251,3560,1660,1133,1813
tt8745676,97056,10728,17982,7146,4554,8298
tt8745960,123140,12680,18400,10060,7860,12120
tt8747304,1390,149,265,122,85,106
tt8747596,6180,720,1080,400,360,660
tt8749146,35460,3380,6260,2720,2480,3060
tt8750570,14574,1608,2250,1272,852,1446
tt8758548,43434,4262,6536,3272,2553,3810
tt8759834,15003,1473,2721,1668,899,1351
tt8760280,17352,1776,3006,1692,744,1734
tt8760670,37903,4067,6476,3150,1985,3311
tt8760684,42654,3924,7734,3012,2232,3084
tt8765580,20789,2243,3273,1628,988,1768
tt8767908,17958,1734,2868,1476,1026,1740
tt8769848,32980,3768,5199,2063,1449,3418
tt8772262,116065,12821,18293,9359,7202,11614
tt8772296,64121,6275,11000,6434,3378,5709
tt8784956,59537,5837,10120,4431,3163,5432
tt8800266,24198,2640,4164,2046,1422,2076
tt8801666,55029,5779,9195,3871,3519,5171
tt8804284,74780,7920,11620,5780,4140,6100
tt8806104,39626,4169,6782,3466,2273,3220
tt8811382,96660,9160,16380,7560,4480,7280
tt8816194,24290,2443,3920,2450,1494,2085
tt8819596,41137,4347,7471,3211,2267,3392
tt8820348,27380,3160,4380,1540,1900,3140
tt8829830,22932,2508,3630,1518,1266,2094
tt8840232,8400,920,1540,700,340,720
tt8844204,24180,2280,4860,2280,1100,1640
tt8846176,44083,4492,7874,3758,2377,3544
tt8846706,9485,1130,1670,885,515,670
tt8847712,85510,8025,13416,6635,5093,6852
tt8850222,74214,7840,12698,6076,4802,6258
tt8851148,15864,1716,2628,1254,990,1680
tt8851668,56600,6140,8980,5380,3840,5420
tt8855960,63745,6597,9797,5646,3704,7022
tt8856090,13663,1475,2009,1040,729,1551
tt8863066,48500,5020,8900,3180,2460,4700
tt8879946,29406,3144,5190,1980,1548,2694
tt8883486,113096,11983,18193,9083,7504,9960
tt8884430,62077,5537,10080,4368,3315,4549
tt8884906,59036,6404,9456,4398,3348,6005
tt8893974,33870,3774,4968,3102,2052,3084
tt8901942,21040,1920,3860,1820,1380,1820
