,Count
s,245709
movie,155501
film,138632
nt,130691
story,57206
good,49346
did,35278
time,27406
characters,18769
life,18451
people,17995
character,17663
great,16754
horror,14993
watch,12814
love,10752
way,10359
two,10237
documentary,9246
family,8372
action,7776
bad,7546
movies,7308
make,7222
comedy,6652
world,6441
fun,6397
think,6186
funny,5878
father,5389
acting,5187
know,5004
new,4992
show,4772
women,4664
plot,4535
mother,4528
films,4387
made,4272
music,4248
animation,4192
scenes,4154
original,3990
end,3921
man,3905
real,3836
cast,3835
series,3764
war,3503
daughter,3376
m,3012
feel,3000
lot,2997
back,2968
ve,2908
performance,2812
things,2801
school,2767
actors,2743
slow,2735
young,2654
art,2565
long,2551
years,2547
book,2546
say,2476
men,2468
gay,2467
old,2427
christmas,2312
true,2310
director,2293
disney,2181
best,2100
watching,2086
thriller,2072
going,2039
re,2005
woman,2004
ben,1999
work,1979
interesting,1958
cage,1951
son,1918
children,1886
michael,1879
mark,1873
scream,1840
harry,1839
white,1811
minutes,1783
girl,1782
bit,1773
better,1757
charlie,1748
songs,1742
footage,1741
kids,1738
argento,1728
tom,1659
scene,1614
david,1605
cohen,1577
black,1572
al,1569
song,1566
doll,1500
kevin,1497
weird,1488
french,1486
animated,1472
ending,1460
de,1456
wahlberg,1452
human,1444
elvis,1410
killer,1399
spielberg,1386
beast,1378
halloween,1354
robert,1346
belle,1341
dragon,1326
relationship,1312
king,1303
beautiful,1295
sex,1277
version,1274
dark,1255
sophie,1250
leonard,1245
netflix,1245
voice,1224
batman,1195
police,1192
wife,1190
anna,1184
santa,1175
peele,1172
julia,1159
woody,1150
john,1146
noé,1144
island,1144
home,1142
girls,1141
2,1136
murder,1135
emma,1125
filipino,1119
parents,1109
brown,1099
house,1091
jennifer,1088
three,1086
luck,1072
history,1061
child,1050
maurice,1046
franchise,1043
kya,1040
slasher,1035
smith,1035
anime,1014
mel,1013
djinn,1008
ray,993
brian,988
friends,982
season,973
bowie,971
chef,969
episode,966
mystery,965
stu,964
sci,959
cinema,951
lawrence,948
foster,946
piece,941
gaspar,937
sisters,933
bale,932
felt,928
stories,926
enola,909
sarah,905
romance,898
henry,897
british,893
adam,890
nozomi,888
lucy,882
games,880
sassoon,879
pearl,873
hart,870
witch,867
american,866
scrooge,864
sandra,861
air,852
bodies,852
owen,852
baby,851
books,851
sister,849
watts,848
wilson,845
allen,844
gibson,843
super,838
marilyn,832
harris,831
boring,827
novel,823
rylance,816
korean,816
screen,813
sam,812
rrr,810
ball,808
beasts,806
oscar,802
koreeda,800
main,800
strange,799
find,798
elements,797
fan,792
hitler,790
couple,786
boeing,785
tower,784
edgar,783
drama,782
armas,780
marcel,775
food,773
death,771
fi,771
oh,769
virtual,765
hall,762
farhadi,757
holmes,753
sr,753
abortion,748
pandemic,748
swinton,745
daniel,745
twist,740
downey,736
tv,731
animals,731
dog,730
peter,728
read,728
roberts,722
teen,720
jones,719
guys,718
joy,717
ana,717
naomi,716
church,715
violent,712
sonic,708
park,704
tilda,701
riseborough,701
maria,699
uncharted,697
monroe,696
camp,693
x,693
fantastic,691
darby,690
crime,688
